編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,資料量,下載次數,主要欄位
188,資訊可變標誌1.1版動態資料,交通局,高雄市政府,交通局,1,2,
189,路況監視系統1.1版靜態資料,交通局,高雄市政府,交通局,1,5,
190,路況監視系統1.1版動態資料,交通局,高雄市政府,交通局,1,4,
191,路段績效1.1版靜態資料,交通局,高雄市政府,交通局,1,5,
192,路段績效1.1版服務水準門檻分級資料,交通局,高雄市政府,交通局,1,2,
193,路段績效1.1版動態資料,交通局,高雄市政府,交通局,1,2,
194,職務再設計服務流程、申請表格、審查核准補助名冊及歷年成果,勞工局,高雄市政府,勞工局,15,19,
195,消防局建議需劃設消防通道搶救困難地區資料,消防局,高雄市政府,消防局,231,5,
196,高雄市和發產業園區開發案,經濟發展局,高雄市政府,經濟發展局,1,10,
197,大寮排水上游段第一期改善工程徵收書圖,水利局,高雄市政府,水利局,1,2,
198,高雄市柴油車排煙檢測站站址,環境保護局,高雄市政府,環保局,3,1,
199,103年高雄市不同權屬土地筆數統計,地政局,高雄市政府,地政局,40,3,
200,103年高雄市不同權屬土地面積統計表,地政局,高雄市政府,地政局,40,2,
201,高雄旅遊網-餐飲資料,觀光局,高雄市政府,觀光局,287,39,
202,高雄市身心障礙醫院及公所窗口聯繫表,衛生局,高雄市政府,衛生局,25,1,
203,消防局轄內願意簽訂液化石油氣供氣定型化契約之分銷商清冊,消防局,高雄市政府,消防局,132,2,
204,消防局救護車及器材捐贈芳名錄,消防局,高雄市政府,消防局,26,1,
205,高雄市役男出境及逾期不歸人數(104年7-12月),民政局,高雄市政府,民政局,12,4,
206,高雄市役男徵兵檢查人數統計表,民政局,高雄市政府,民政局,12,3,
207,高雄市飲用水資訊,環境保護局,高雄市政府,環保局,1,7,
208,高雄市指定藥癮戒治機構及替代治療機構,衛生局,高雄市政府,衛生局,0,10,
209,高雄市政府新聞局電子書網址,新聞局,高雄市政府,新聞局,1,1,
210,高雄市政府自拍速必潔,,高雄市政府,,,,
211,高雄市重要統計快報-經濟建設,主計處,高雄市政府,主計處,1,11,
212,公私立幼兒園通訊資料,教育局,高雄市政府,教育局,1,7,
213,高雄市立特殊教育學校通訊資料,教育局,高雄市政府,教育局,1,4,
214,高雄市各體育館分佈資訊查詢,教育局,高雄市政府,教育局,1,1,
215,高雄市因應各項災害避難收容場所學校一覽表,教育局,高雄市政府,教育局,1,7,
216,高雄市社區大學通訊資料一覽表,教育局,高雄市政府,教育局,1,2,
217,高雄市樂齡通訊資料一覽表,教育局,高雄市政府,教育局,1,3,
218,高雄市立社教館活動概況,教育局,高雄市政府,教育局,1,1,
219,高雄市立社教館教育推廣班線上報名,教育局,高雄市政府,教育局,1,3,
220,高雄市立社教館最新消息,教育局,高雄市政府,教育局,1,1,
221,高雄市立社教館演講、親子及其他活動線上報名,教育局,高雄市政府,教育局,1,1,
222,高雄市立社教館線上場地租借,教育局,高雄市政府,教育局,1,1,
223,高雄市因應各項災害避難收容場所一覽表,教育局,高雄市政府,教育局,1,3,
224,高雄市教育基金會,教育局,高雄市政府,教育局,1,3,
225,高雄市補習班資訊管理系統,教育局,高雄市政府,教育局,1,5,
226,本市公私立各級學校通訊資料,教育局,高雄市政府,教育局,1,1,
227,全國課後照顧服務中心資訊網,教育局,高雄市政府,教育局,1,3,
228,國民小學學區劃分一覽表,教育局,高雄市政府,教育局,1,2,
229,高雄市(105年度)颱風豪雨期間開放車輛臨時停放處所一覽表,教育局,高雄市政府,教育局,1,1,
230,105學年度國中小補校,教育局,高雄市政府,教育局,1,2,
231,自行管理營運場館聯絡表,教育局,高雄市政府,教育局,1,3,
232,國中總量管制學校及空間充裕學校,教育局,高雄市政府,教育局,1,8,
233,國民中學學區劃分一覽表,教育局,高雄市政府,教育局,1,1,
234,寒暑假課後社團活動,教育局,高雄市政府,教育局,1,3,
235,高雄市政府教育局局網最新公告,教育局,高雄市政府,教育局,1,2,
236,高雄市立社教館演講親子及其他活動線上報名,教育局,高雄市政府,教育局,1,2,
237,高雄市政府教育局家庭教育中心活動訊息,教育局,高雄市政府,教育局,1,2,
238,高雄市體育處活動訊息,教育局,高雄市政府,教育局,1,1,
239,教育局重大行事曆,教育局,高雄市政府,教育局,1,1,
240,教育局所屬學校iTaiwan開放查詢,教育局,高雄市政府,教育局,1,3,
241,高雄市104學年幼兒園基礎評鑑結果,教育局,高雄市政府,教育局,1,39,
242,高雄市立社教館各種場地使用收費標準表,教育局,高雄市政府,教育局,1,1,
243,高雄市立社教館各場地開放時間,教育局,高雄市政府,教育局,1,2,
244,高雄市立社教館各場地介紹及設備,教育局,高雄市政府,教育局,1,1,
245,高雄市體育處所屬場地收費標準,教育局,高雄市政府,教育局,1,1,
246,高雄市體育處所屬場地相關法令,教育局,高雄市政府,教育局,1,1,
247,幼愛閱,教育局,高雄市政府,教育局,1,10,
248,喜閱網,教育局,高雄市政府,教育局,1,2,
249,愛閱網,教育局,高雄市政府,教育局,1,53,
250,雲端知識海,教育局,高雄市政府,教育局,1,6,
251,學校交通導引資訊,教育局,高雄市政府,教育局,1,1,
252,高雄市各級學校甄選公告,教育局,高雄市政府,教育局,1,5,
253,E-game U世代島嶼學習樂園,教育局,高雄市政府,教育局,1,3,
254,飲食教育網,教育局,高雄市政府,教育局,1,5,
255,高雄市自行管理營運場館聯絡表,教育局,高雄市政府,教育局,1,4,
256,空氣盒子-城市PM2.5、溫濕度環境感測器,,高雄市政府,,,,
257,高雄市重要統計快報-教育文化,主計處,高雄市政府,主計處,1,3,
258,高雄市老人健檢醫療院所,衛生局,高雄市政府,衛生局,49,2,
259,港都e學苑數位學習網路課程單,人事處,高雄市政府,人事處,1,5,
260,高雄市用電設備檢驗維護業登記清冊,經濟發展局,高雄市政府,經濟發展局,1,4,
261,高雄市電器承裝業登記清冊,經濟發展局,高雄市政府,經濟發展局,1790,3,
262,電動機車充電站名稱及充電站地址,環境保護局,高雄市政府,環保局,1,43,
263,高雄電子期刊網頁連結,新聞局,高雄市政府,新聞局,1,1,
264,高雄市急救責任醫院,衛生局,高雄市政府,衛生局,23,4,
265,消防署災情案件資料EMIC(高雄市),研究發展考核委員會,高雄市政府,研究發展考核委員會,1,10,
266,員工協助方案統計數據,人事處,高雄市政府,人事處,1,4,
267,高雄市政府各就業服務據點,勞工局,高雄市政府,勞工局,17,2,
268,委託研究,研究發展考核委員會,高雄市政府,研究發展考核委員會,1,7,
269,高雄市環保餐廳,環境保護局,高雄市政府,環保局,1,5,
270,高雄市環境教育設施場所,環境保護局,高雄市政府,環保局,1,7,
271,高雄市環保旅店,環境保護局,高雄市政府,環保局,1,3,
272,高雄市環境用藥販賣業,環境保護局,高雄市政府,環保局,1,1,
273,高雄市環境教育機構,環境保護局,高雄市政府,環保局,1,1,
274,高雄市重要統計快報-環保衛生,主計處,高雄市政府,主計處,1,3,
275,就業服務電子報,勞工局,高雄市政府,勞工局,1,1,
276,身心障礙者職業訓練設備與協助服務相關資訊、流程及成果,勞工局,高雄市政府,勞工局,10,8,
277,消防車裝備捐贈芳名錄,消防局,高雄市政府,消防局,64,2,
278,高雄市政府整體計畫實施性別影響評估案件一覽表,研究發展考核委員會,高雄市政府,研究發展考核委員會,113,9,
279,高雄市政府政風處暨所屬政風機構電話,政風處,高雄市政府,政風處,1,14,
280,高雄市優良餐飲認證業者名冊,衛生局,高雄市政府,衛生局,122,2,
281,高雄市政府文化局-展覽活動,文化局,高雄市政府,文化局,1,11,
282,高雄市新聞局現有人員統計表,新聞局,高雄市政府,新聞局,1,1,
283,文化高雄Face,,高雄市政府,,,,
284,已調查設施數量統計,工務局,高雄市政府,工務局,1,2,
285,高雄市工廠歇業清冊,經濟發展局,高雄市政府,經濟發展局,18,2,
286,高雄市工廠登記清冊,經濟發展局,高雄市政府,經濟發展局,7048,16,
287,高雄市哺(集)乳室場所,衛生局,高雄市政府,衛生局,179,7,
288,鳳山圳滯洪池工程徵收書圖,水利局,高雄市政府,水利局,1,3,
289,鳳山區文仁街打通工程,工務局,高雄市政府,工務局,1,4,
290,高雄市政府四維行政中心行政大樓圖資,秘書處,高雄市政府,秘書處,41,52,
291,消防局歷年火災統計表,消防局,高雄市政府,消防局,6,4,
292,104年高雄市建物第一次登記統計,地政局,高雄市政府,地政局,160,15,
293,高雄市水產加工產品證明標章,海洋局,高雄市政府,海洋局,1,4,
294,高雄市漁船加油站一覽表,經濟發展局,高雄市政府,經濟發展局,8,1,
295,高雄市固定式違規照相設備設置地點,警察局,高雄市政府,警察局,396,29,
296,滯洪池統計資料,水利局,高雄市政府,水利局,10,5,
297,高雄市政府文化局-民間藝文,文化局,高雄市政府,文化局,1,13,
298,聘僱外勞專區,勞工局,高雄市政府,勞工局,1,3,
299,104年高雄市外國人地權登記管理,地政局,高雄市政府,地政局,5,9,
300,高雄市老人免費裝假牙特約醫療院所,衛生局,高雄市政府,衛生局,398,3,
301,居家托育服務中心,社會局,高雄市政府,社會局,9,2,
302,高雄市私立托嬰中心,社會局,高雄市政府,社會局,47,1,
303,高雄市公設民營托嬰中心,社會局,高雄市政府,社會局,17,1,
304,個案管理中心,社會局,高雄市政府,社會局,6,1,
305,兒童發展聯合評估中心與評估醫院,社會局,高雄市政府,社會局,5,1,
306,復健醫療院所,社會局,高雄市政府,社會局,43,4,
307,身心障礙、發展遲緩兒童訓練機構,社會局,高雄市政府,社會局,22,1,
308,高雄市兒童福利服務中心及育兒資源據點,社會局,高雄市政府,社會局,18,2,
309,弱勢兒少社區照顧服務據點,社會局,高雄市政府,社會局,80,2,
310,家庭寄養(服務據點),社會局,高雄市政府,社會局,3,2,
311,收出養服務機構,社會局,高雄市政府,社會局,2,1,
312,兒童及少年服務機構,社會局,高雄市政府,社會局,3,1,
313,兒童及少年高風險家庭關懷輔導處遇服務單位,社會局,高雄市政府,社會局,21,2,
314,婦女福利機構,社會局,高雄市政府,社會局,4,1,
315,單親家庭服務中心,社會局,高雄市政府,社會局,6,2,
316,單親家園,社會局,高雄市政府,社會局,4,4,
317,新住民家庭服務中心,社會局,高雄市政府,社會局,5,1,
318,新住民社區服務據點,社會局,高雄市政府,社會局,19,1,
319,公設民營養護機構,社會局,高雄市政府,社會局,1,1,
320,公立老人安養護機構,社會局,高雄市政府,社會局,1,4,
321,私立老人養護機構,社會局,高雄市政府,社會局,148,2,
322,老人公寓,社會局,高雄市政府,社會局,1,1,
323,日間照顧中心,社會局,高雄市政府,社會局,16,1,
324,銀髮家園,社會局,高雄市政府,社會局,1,2,
325,長期照顧管理中心,社會局,高雄市政府,社會局,6,1,
326,居家服務,社會局,高雄市政府,社會局,32,1,
327,社區照顧關懷據點,社會局,高雄市政府,社會局,208,1,
328,銀髮農園,社會局,高雄市政府,社會局,2,3,
329,老人活動中心,社會局,高雄市政府,社會局,59,1,
330,家庭托顧,社會局,高雄市政府,社會局,1,1,
331,多元照顧中心,社會局,高雄市政府,社會局,3,1,
332,日間托老,社會局,高雄市政府,社會局,15,1,
333,高齡學習機構-長青學苑,社會局,高雄市政府,社會局,72,1,
334,高齡學習機構-市民學苑,社會局,高雄市政府,社會局,35,1,
335,高齡學習機構-樂齡中心,社會局,高雄市政府,社會局,38,1,
336,高齡學習機構-樂齡大學,社會局,高雄市政府,社會局,14,1,
337,高齡學習機構-松年大學,社會局,高雄市政府,社會局,6,3,
338,高齡學習機構-勞工大學,社會局,高雄市政府,社會局,8,2,
339,高齡學習機構-部落大學,社會局,高雄市政府,社會局,29,1,
340,街友服務場所,社會局,高雄市政府,社會局,2,2,
341,國民年金辦事處,社會局,高雄市政府,社會局,38,1,
342,災民避難收容所,社會局,高雄市政府,社會局,399,2,
343,實物銀行,社會局,高雄市政府,社會局,53,4,
344,綜合性身心障礙福利服務機構,社會局,高雄市政府,社會局,1,2,
345,全日型住宿機構,社會局,高雄市政府,社會局,8,2,
346,日間照顧機構,社會局,高雄市政府,社會局,19,1,
347,輔具服務據點,社會局,高雄市政府,社會局,5,1,
348,視覺障礙者社會重建中心,社會局,高雄市政府,社會局,1,3,
349,庇護工場,社會局,高雄市政府,社會局,10,1,
350,社區作業設施,社會局,高雄市政府,社會局,27,1,
351,日間照顧據點,社會局,高雄市政府,社會局,7,1,
352,社區居住家園,社會局,高雄市政府,社會局,12,1,
353,身心障礙福利社團,社會局,高雄市政府,社會局,92,2,
354,精神障礙者生活重建服務據點,社會局,高雄市政府,社會局,2,1,
355,全日型兼日間型生活重建機構,社會局,高雄市政府,社會局,2,4,
356,家庭托顧據點,社會局,高雄市政府,社會局,4,6,
357,家庭暴力及性侵害防治中心,社會局,高雄市政府,社會局,1,3,
358,兒童青少年家庭與諮商中心,社會局,高雄市政府,社會局,1,1,
359,性侵害案件一站式服務醫療院所,社會局,高雄市政府,社會局,6,1,
360,駐臺灣高雄地方法院家暴事件服務處,社會局,高雄市政府,社會局,1,1,
361,綜合性福利服務,社會局,高雄市政府,社會局,14,1,
362,志願服務資源中心,社會局,高雄市政府,社會局,1,2,
363,基金會,社會局,高雄市政府,社會局,79,1,
364,社區發展服務,社會局,高雄市政府,社會局,848,1,
365,工業合作社,社會局,高雄市政府,社會局,451,3,
366,消費合作社,社會局,高雄市政府,社會局,141,1,
367,公用合作社,社會局,高雄市政府,社會局,1,2,
368,社區合作社,社會局,高雄市政府,社會局,1,1,
369,本市各區公所,社會局,高雄市政府,社會局,38,4,
370,工業團體,社會局,高雄市政府,社會局,2,1,
371,商業團體,社會局,高雄市政府,社會局,226,2,
372,自由職業團體,社會局,高雄市政府,社會局,285,1,
373,教育會,社會局,高雄市政府,社會局,25,2,
374,學術文化團體,社會局,高雄市政府,社會局,611,3,
375,醫療衛生團體,社會局,高雄市政府,社會局,73,1,
376,宗教團體,社會局,高雄市政府,社會局,234,1,
377,體育團體,社會局,高雄市政府,社會局,452,1,
378,社會服務及慈善團體,社會局,高雄市政府,社會局,1592,1,
379,國際團體,社會局,高雄市政府,社會局,303,3,
380,經濟業務團體,社會局,高雄市政府,社會局,401,1,
381,環保團體,社會局,高雄市政府,社會局,61,2,
382,宗親會,社會局,高雄市政府,社會局,88,1,
383,同鄉會,社會局,高雄市政府,社會局,64,1,
384,校友會,社會局,高雄市政府,社會局,110,2,
385,其他公益團體,社會局,高雄市政府,社會局,1,2,
386,高雄市友善懷孕商店,經濟發展局,高雄市政府,經濟發展局,46,1,
387,外縣市殯葬禮儀服務業備查核准一覽表,民政局,高雄市政府,民政局,1,3,
388,岡山區縣道186線本工環東路至河華路拓寬工程徵收計畫書圖,工務局,高雄市政府,工務局,2,3,
389,高雄市岡山本洲產業園區廠商名冊,經濟發展局,高雄市政府,經濟發展局,14707,4,
390,岡山魚市場遷建工程之土地徵收,海洋局,高雄市政府,海洋局,6,30,
391,高雄市登革熱民眾即時通,,高雄市政府,,,,
392,垃圾清運路線及時間,環境保護局,高雄市政府,環保局,1,572,
393,高雄市加油站一覽表,經濟發展局,高雄市政府,經濟發展局,272,7,
394,高雄市政府消防局列管燃氣熱水器承裝業名冊,消防局,高雄市政府,消防局,1,10,
395,消防局燃氣熱水器技術士清冊,消防局,高雄市政府,消防局,200,1,
396,性別主流化統計數據,人事處,高雄市政府,人事處,1,6,
397,高雄市新聞局性別統計發佈時間一覽表,新聞局,高雄市政府,新聞局,1,2,
398,高雄市一般旅館資料,觀光局,高雄市政府,觀光局,390,11,
399,道路長度面積統計,工務局,高雄市政府,工務局,38,12,
400,各機關電話地址資訊,人事處,高雄市政府,人事處,1,15,
401,高雄市政府施政報告,研究發展考核委員會,高雄市政府,研究發展考核委員會,1,15,
402,高雄市地方總決算,主計處,高雄市政府,主計處,1,13,
403,高雄市地方總決算附屬單位決算及綜計表,主計處,高雄市政府,主計處,1,13,
404,市政新聞,研究發展考核委員會,高雄市政府,研究發展考核委員會,1,6,
405,高雄市綠色商店,環境保護局,高雄市政府,環保局,1,4,
406,高雄市地面水體監測站設置位置,環境保護局,高雄市政府,環保局,1,1,
407,鼓山區新疆路9巷向南延伸至西藏街開闢工程,工務局,高雄市政府,工務局,1,1,
408,鼓山運河整治工程(第二標)徵收書圖,水利局,高雄市政府,水利局,1,1,
409,永安區阿公店溪海堤路新建工程,工務局,高雄市政府,工務局,1,4,
410,高雄市客家美食餐飲小吃名冊,客家事務委員會,高雄市政府,客家事務委員會,1,4,
411,高雄市政府新聞局港都畫報網址,新聞局,高雄市政府,新聞局,1,1,
412,高雄市衛生局所資料,衛生局,高雄市政府,衛生局,39,9,
413,高雄市衛生自主管理標章認證業者名冊,衛生局,高雄市政府,衛生局,192,1,
414,高雄市政府食品追蹤追溯管理平台,,高雄市政府,,,,
415,高雄市居家護理所名單,衛生局,高雄市政府,衛生局,71,2,
416,高雄市居家護理合約單位名冊,衛生局,高雄市政府,衛生局,44,1,
417,高雄市居家喘息合約單位名冊,衛生局,高雄市政府,衛生局,30,1,
418,里長名冊,民政局,高雄市政府,民政局,1,38,
419,紅毛港文化園區-最新消息,文化局,高雄市政府,文化局,1,3,
420,高雄市長照服務申請,,高雄市政府,,,,
421,後勁溪後續排水改善工程徵收書圖,水利局,高雄市政府,水利局,1,1,
422,戶政事務所坐標資訊,民政局,高雄市政府,民政局,1,8,
423,高雄住宅資訊地圖,,高雄市政府,,,,
424,就業歧視暨性別工作平等專區,勞工局,高雄市政府,勞工局,1,4,
425,高雄市小港區高坪重劃區,民政局,高雄市政府,民政局,1,8,
426,高雄市政府公務人力發展計畫,人事處,高雄市政府,人事處,1,7,
427,役男免役禁役緩徵處理情形表,民政局,高雄市政府,民政局,39,1,
428,高雄市家庭收支調查,主計處,高雄市政府,主計處,1,4,
429,高雄市產業園區簡介,經濟發展局,高雄市政府,經濟發展局,3,139,
430,高雄市工業管線查詢系統,經濟發展局,高雄市政府,經濟發展局,1,14,
431,高雄市政府公報閱覽資訊,秘書處,高雄市政府,秘書處,1,7,
432,訓練就業中心各就業服務站(台)據點,勞工局,高雄市政府,勞工局,20,7,
433,自辦身心障礙者職業訓練資訊,勞工局,高雄市政府,勞工局,10,3,
434,市政創新提案,研究發展考核委員會,高雄市政府,研究發展考核委員會,68,4,
435,高雄市獸醫佐執業執照查詢,農業局,高雄市政府,農業局,1,4,
436,高雄市機構喘息合約單位名冊,衛生局,高雄市政府,衛生局,97,1,
437,104年度高雄市「清淨家園社區營造計畫」第1至3季補（捐）助清冊,都市發展局,高雄市政府,都市發展局,1,2,
438,iTaiwan 公共區域免費無線上網,研究發展考核委員會,高雄市政府,研究發展考核委員會,1,24,
439,iTaiwan地點與經緯度,研究發展考核委員會,高雄市政府,研究發展考核委員會,713,46,
440,工作職缺,勞工局,高雄市政府,勞工局,500,2,
441,商店街聯合發展協會會員,經濟發展局,高雄市政府,經濟發展局,20,6,
442,106年高雄市土地及建物登記管理,地政局,高雄市政府,地政局,12,3,
443,高雄市有線電視現況,新聞局,高雄市政府,新聞局,1,2,
444,高雄市路口監視器地點,警察局,高雄市政府,警察局,23038,152,
445,高雄市滅火器換藥及充填作業許可合格廠商,消防局,高雄市政府,消防局,1,2,
446,高雄市精神醫療機構,衛生局,高雄市政府,衛生局,1,6,
447,高雄市心理加油站服務據點,衛生局,高雄市政府,衛生局,1,7,
448,高雄市殯葬禮儀服務業許可核准一覽表,民政局,高雄市政府,民政局,1,7,
449,高雄市產銷履歷清冊,農業局,高雄市政府,農業局,1,10,
450,大寮拷潭公墓南側道路開闢工程,工務局,高雄市政府,工務局,1,5,
451,相關求才、求職、職業訓練資訊及最新資訊發佈,勞工局,高雄市政府,勞工局,20,6,
452,高雄市立圖書館-活動資訊,文化局,高雄市政府,文化局,1,10,
453,不實徵才申訴,勞工局,高雄市政府,勞工局,1,4,
454,高雄市重要統計快報-勞動就業,主計處,高雄市政府,主計處,1,12,
455,公告違反勞動基準法事業單位名單,勞工局,高雄市政府,勞工局,1,12,
456,105年度高雄市勞工權益基金補助統計表,勞工局,高雄市政府,勞工局,4,18,
457,幸福高雄市移居津貼,勞工局,高雄市政府,勞工局,4,10,
458,105年高雄市土地段名代碼表,地政局,高雄市政府,地政局,1379,8,
459,高雄市重要統計快報-土地人口,主計處,高雄市政府,主計處,1,18,
460,高雄市地政事務所轄區圖,地政局,高雄市政府,地政局,1,20,
461,高雄市地政事務所坐標資訊,地政局,高雄市政府,地政局,12,7,
462,高雄市地政事務所位置圖,地政局,高雄市政府,地政局,1,9,
463,105年高雄市土地公告現值及公告地價,地政局,高雄市政府,地政局,1434316,66,
464,高雄市最新債務資訊,財政局,高雄市政府,財政局,1,44,
465,首長會報暨跨域合作,研究發展考核委員會,高雄市政府,研究發展考核委員會,162,4,
466,合法酒製造業者資料,財政局,高雄市政府,財政局,1,3,
467,休閒農場場址及聯絡電話,農業局,高雄市政府,農業局,1,5,
468,高雄輕軌車站中心座標,捷運工程局,高雄市政府,捷運工程局,4,10,
469,林園東林西路拓寬工程補辦徵收計畫書圖,工務局,高雄市政府,工務局,3,7,
470,林園汕尾北汕二路拓寬工程徵收計畫書圖,工務局,高雄市政府,工務局,3,6,
471,私立就業服務機構專區,勞工局,高雄市政府,勞工局,1,9,
472,高雄市地方總預算,主計處,高雄市政府,主計處,1,30,
473,高雄市房屋路線地段等級調整率,財政局,高雄市政府,財政局,1,17,
474,高雄市空氣品質自動監測站位置,環境保護局,高雄市政府,環保局,1,9,
475,高雄市機車排氣檢驗站資料,環境保護局,高雄市政府,環保局,390,5,
476,高雄市長期照顧管理中心,衛生局,高雄市政府,衛生局,10,5,
477,高雄市潛伏結核感染治療（LTBI）合作醫院,衛生局,高雄市政府,衛生局,1,2,
478,路竹區高11線拓寬工程,工務局,高雄市政府,工務局,3,20,
479,海洋首都中英文雙月刊連結網址,新聞局,高雄市政府,新聞局,1,2,
480,高雄市現有按摩據點,勞工局,高雄市政府,勞工局,1,7,
481,高雄市母嬰親善醫療院所,衛生局,高雄市政府,衛生局,25,17,
482,高雄市醫療院所資料,衛生局,高雄市政府,衛生局,2889,4,
483,高雄市政府中程施政計畫,研究發展考核委員會,高雄市政府,研究發展考核委員會,7,8,
484,高雄市都市計畫委員會委員名單,都市發展局,高雄市政府,都市發展局,1,27,
485,高雄市非都市土地開發專責審議小組委員名單,都市發展局,高雄市政府,都市發展局,1,12,
486,高雄市各區第二屆調解委員會委員遴聘資格審查通過名單一覽表,民政局,高雄市政府,民政局,40,9,
487,高雄市精神護理之家,衛生局,高雄市政府,衛生局,50,3,
488,高雄市精神復健機構,衛生局,高雄市政府,衛生局,1,8,
489,高雄市都市計畫委員會審議會議紀錄,都市發展局,高雄市政府,都市發展局,1,3,
490,高雄市非都市土地開發專責審議小組審議會議紀錄,都市發展局,高雄市政府,都市發展局,1,3,
491,彌陀區中正南路1巷18弄打通工程徵收計畫書圖,工務局,高雄市政府,工務局,1,1,
492,彌陀區中正路9巷開闢工程,工務局,高雄市政府,工務局,3,7,
493,專題委託研究,研究發展考核委員會,高雄市政府,研究發展考核委員會,370,4,
494,鼓聲市府月刊連結網址,新聞局,高雄市政府,新聞局,1,2,
495,殯葬管理處即時空氣污染物連續自動監測設施(CEMS),民政局,高雄市政府,民政局,240,62,
496,高雄市MTV現況,新聞局,高雄市政府,新聞局,1,3,
497,多元繳稅方式件數統計,財政局,高雄市政府,財政局,1,8,
498,高雄綠豆椪得獎店家名單,經濟發展局,高雄市政府,經濟發展局,50,3,
499,那瑪夏區瑪星哈蘭人行景觀橋新建工程,工務局,高雄市政府,工務局,2,2,
500,楠梓9-179號道路開闢工程徵收計畫書圖,工務局,高雄市政府,工務局,1,2,
501,楠梓區大學20街168巷打通工程,工務局,高雄市政府,工務局,1,2,
502,高雄市國民兵列管人數,民政局,高雄市政府,民政局,39,1,
503,高雄市重要統計快報-全國資料,主計處,高雄市政府,主計處,1,16,
504,本市歷次發布天然災害停止上班上課相關訊息一覽表,人事處,高雄市政府,人事處,1,15,
505,高雄市天然氣導管承裝商清冊,經濟發展局,高雄市政府,經濟發展局,19,2,
506,高雄市即時公共訊息聯播服務平台補助辦法,新聞局,高雄市政府,新聞局,1,3,
507,高雄市政府原民會-最新消息,原住民事務委員會,高雄市政府,原住民事務委員會,1,2,
508,航空噪音管制區,環境保護局,高雄市政府,環保局,1,3,
509,高雄市噪音監測站位置,環境保護局,高雄市政府,環保局,1,1,
510,高雄市常備兵及補充兵徵集人數,民政局,高雄市政府,民政局,1,2,
511,高雄市一般護理之家立案機構名單,衛生局,高雄市政府,衛生局,67,17,
512,高雄市居家(社區)營養服務合約單位名冊,衛生局,高雄市政府,衛生局,11,2,
513,105年楠梓區基本資料表,楠梓區公所,高雄市政府,楠梓區公所,1,9,
514,高雄大學特定區雲端導覽系統,,高雄市政府,,,,
515,高雄市勞工職業災害慰問金,勞工局,高雄市政府,勞工局,5,9,
516,消防局辦公設備捐贈芳名錄,消防局,高雄市政府,消防局,5,3,
517,核准身障福利團體設置舊衣回收箱,環境保護局,高雄市政府,環保局,704,4,
518,Open1999派工受理案件資料,研究發展考核委員會,高雄市政府,研究發展考核委員會,600,137,
519,工務局養護工程處養護公園資訊,工務局,高雄市政府,工務局,1900,11,
520,各機關組織規程暨編制表、分層負責明細表法規資訊,人事處,高雄市政府,人事處,1,5,
521,他縣市稅捐機關代發本市資料統計,財政局,高雄市政府,財政局,1,3,
522,高雄市政府新聞局其他出版品連結網址,新聞局,高雄市政府,新聞局,1,1,
523,學校通訊資料,空中大學,高雄市政府,空中大學,1,2,
524,自行研究,研究發展考核委員會,高雄市政府,研究發展考核委員會,1,7,
525,105??高雄市養?場結核病檢驗合格名冊,農業局,高雄市政府,農業局,1,2,
526,高雄市政府文化局-演出活動,文化局,高雄市政府,文化局,1,7,
527,105年身心障礙人員進用情形,人事處,高雄市政府,人事處,1,8,
528,高雄市特定寵物業清冊,農業局,高雄市政府,農業局,1,5,
529,為毛小孩找一個家公益櫥窗計畫合作店家目錄,農業局,高雄市政府,農業局,1,4,
530,105年高雄市寵物登記站簽約動物醫院,農業局,高雄市政府,農業局,1,5,
531,高雄市藥局資料,衛生局,高雄市政府,衛生局,978,6,
532,浮游植物調查,海洋局,高雄市政府,海洋局,1,2,
533,駁二 Pier2交通資訊,文化局,高雄市政府,文化局,1,3,
534,高雄市道路挖掘資訊,工務局,高雄市政府,工務局,992,15,
535,浮游動物調查,海洋局,高雄市政府,海洋局,1,1,
536,高雄市政府高字設計圖授權管理要點/審查作業要點/契約書,新聞局,高雄市政府,新聞局,1,3,
537,高雄市各分局派出所轄區地址電話,警察局,高雄市政府,警察局,9,5,
538,警政知識,警察局,高雄市政府,警察局,1,3,
539,高雄市產後護理機構(產後護理之家)名冊,衛生局,高雄市政府,衛生局,13,2,
540,高雄市物價統計,主計處,高雄市政府,主計處,1,4,
541,民營路外停車場,交通局,高雄市政府,交通局,700,39,
542,高雄市處理業機構名冊,環境保護局,高雄市政府,環保局,19,2,
543,高雄市促進產業發展自治條例獎助措施核定獎助申請案清冊,經濟發展局,高雄市政府,經濟發展局,10,11,
544,高雄市政府政風處暨各政風機關(單位)受理財產申報人數,政風處,高雄市政府,政風處,1,12,
545,高雄市心理諮商機構,衛生局,高雄市政府,衛生局,1,10,
546,公共藝術,文化局,高雄市政府,文化局,1,7,
547,高雄市公共腳踏車即時租賃站資訊,環境保護局,高雄市政府,環保局,1,37,
548,高雄市流感疫苗接種合約醫療院所,衛生局,高雄市政府,衛生局,500,10,
549,高雄市公費流感抗病毒藥劑合約醫療院所,衛生局,高雄市政府,衛生局,500,17,
550,103年高雄市公有土地面積統計表,地政局,高雄市政府,地政局,40,6,
551,高雄市立圖書館-分館資訊,文化局,高雄市政府,文化局,1,12,
552,高雄市公有零售市場,經濟發展局,高雄市政府,經濟發展局,45,2,
553,103年全民督工年度統計資料,研究發展考核委員會,高雄市政府,研究發展考核委員會,37,10,
